source,target,edge_type,author_order,weight
author:md5:280422b97a870dee818ba4bcbf371ad9,author:md5:7821c18e81a9c9916697e6e0e9cd5793,coauthor,,1.0
author:md5:280422b97a870dee818ba4bcbf371ad9,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:494590c8500cfc5e325d99c3c46a29ec,author:md5:7821c18e81a9c9916697e6e0e9cd5793,coauthor,,1.0
author:md5:494590c8500cfc5e325d99c3c46a29ec,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:7821c18e81a9c9916697e6e0e9cd5793,author:md5:d41d8cd98f00b204e9800998ecf8427e,coauthor,,1.0
author:md5:cc61c977a7e4561276094cf28133d910,author:md5:273ecfd00a688655f4354c0acafd384e,coauthor,,1.0
author:md5:cc61c977a7e4561276094cf28133d910,author:md5:f1acbecec2457d3dd963008d823d53cf,coauthor,,1.0
author:md5:cc61c977a7e4561276094cf28133d910,author:md5:3b615998d95caeb1cf4dc0656c962561,coauthor,,1.0
author:md5:cc61c977a7e4561276094cf28133d910,author:md5:52905321a0a44ee45230e41ae3e3b5b2,coauthor,,1.0
author:md5:cc61c977a7e4561276094cf28133d910,author:md5:a2c0f8255b90675fdce3a621eeb39669,coauthor,,1.0
author:md5:cc61c977a7e4561276094cf28133d910,author:md5:f0153d48ba5ee53c008aaf78e013985b,coauthor,,1.0
author:md5:273ecfd00a688655f4354c0acafd384e,author:md5:f1acbecec2457d3dd963008d823d53cf,coauthor,,1.0
author:md5:273ecfd00a688655f4354c0acafd384e,author:md5:3b615998d95caeb1cf4dc0656c962561,coauthor,,1.0
author:md5:273ecfd00a688655f4354c0acafd384e,author:md5:52905321a0a44ee45230e41ae3e3b5b2,coauthor,,1.0
author:md5:273ecfd00a688655f4354c0acafd384e,author:md5:a2c0f8255b90675fdce3a621eeb39669,coauthor,,1.0
author:md5:273ecfd00a688655f4354c0acafd384e,author:md5:f0153d48ba5ee53c008aaf78e013985b,coauthor,,1.0
author:md5:f1acbecec2457d3dd963008d823d53cf,author:md5:3b615998d95caeb1cf4dc0656c962561,coauthor,,1.0
author:md5:f1acbecec2457d3dd963008d823d53cf,author:md5:52905321a0a44ee45230e41ae3e3b5b2,coauthor,,1.0
author:md5:f1acbecec2457d3dd963008d823d53cf,author:md5:a2c0f8255b90675fdce3a621eeb39669,coauthor,,1.0
author:md5:f1acbecec2457d3dd963008d823d53cf,author:md5:f0153d48ba5ee53c008aaf78e013985b,coauthor,,1.0
author:md5:3b615998d95caeb1cf4dc0656c962561,author:md5:52905321a0a44ee45230e41ae3e3b5b2,coauthor,,1.0
author:md5:3b615998d95caeb1cf4dc0656c962561,author:md5:a2c0f8255b90675fdce3a621eeb39669,coauthor,,1.0
author:md5:3b615998d95caeb1cf4dc0656c962561,author:md5:f0153d48ba5ee53c008aaf78e013985b,coauthor,,1.0
author:md5:52905321a0a44ee45230e41ae3e3b5b2,author:md5:a2c0f8255b90675fdce3a621eeb39669,coauthor,,1.0
author:md5:52905321a0a44ee45230e41ae3e3b5b2,author:md5:f0153d48ba5ee53c008aaf78e013985b,coauthor,,1.0
author:md5:a2c0f8255b90675fdce3a621eeb39669,author:md5:f0153d48ba5ee53c008aaf78e013985b,coauthor,,1.0
author:md5:f756a36d150ba332fa33af094c684162,author:md5:fce15481deb68367b42f5a91fa32d17b,coauthor,,1.0
author:md5:f756a36d150ba332fa33af094c684162,author:md5:50b682adbf2f2efabb983a960de49f10,coauthor,,1.0
